Date,Country,Market_Type,Return
2000-04-20,France,DM,0.011552042021226765
2000-04-25,France,DM,0.011581839268732377
2000-04-26,France,DM,0.015297716240427386
2000-04-27,France,DM,-0.018435592101138147
2000-04-28,France,DM,0.024526129129485135
2000-05-02,France,DM,0.022231210371053144
2000-05-03,France,DM,-0.016034944652997915
2000-05-04,France,DM,0.009441505270941189
2000-05-05,France,DM,0.005824241777310768
2000-05-08,France,DM,-0.003896283017933383
2000-05-09,France,DM,-0.018685510289728383
2000-05-10,France,DM,-0.014236273060931243
2000-05-11,France,DM,0.01609480563572805
2000-05-12,France,DM,0.010591883265822012
2000-05-15,France,DM,-0.006020168262050278
2000-05-16,France,DM,0.021546014323860947
2000-05-17,France,DM,-0.01259564916131327
2000-05-18,France,DM,-0.0015796140299603684
2000-05-19,France,DM,-0.03509299056787266
2000-05-22,France,DM,-0.017779292178364305
2000-05-23,France,DM,0.005770582782591782
2000-05-24,France,DM,-0.021689862188293347
2000-05-25,France,DM,0.023627384501076792
2000-05-26,France,DM,0.0010394853719948248
2000-05-29,France,DM,0.014862122615886307
2000-05-30,France,DM,0.017481607048482596
2000-05-31,France,DM,0.0157148188814089
2000-06-01,France,DM,0.022100812665852038
2000-06-02,France,DM,0.011223436487792313
2000-06-05,France,DM,-0.000494416517135426
2000-06-06,France,DM,-0.00750417726463655
2000-06-07,France,DM,-0.01334174831811811
2000-06-08,France,DM,0.0022816189825179386
2000-06-09,France,DM,0.0033199145686528373
2000-06-13,France,DM,0.00017708247062512777
2000-06-14,France,DM,0.012167988172291653
2000-06-15,France,DM,-0.012921032394102902
2000-06-16,France,DM,-0.006539540873466666
2000-06-19,France,DM,0.0045776391775421655
2000-06-20,France,DM,0.0034598805582992946
2000-06-21,France,DM,-0.009994792358858449
2000-06-22,France,DM,0.0006849367937965372
2000-06-23,France,DM,0.007399666689305236
2000-06-26,France,DM,0.00648286429146221
2000-06-27,France,DM,-0.0014859458178422798
2000-06-28,France,DM,0.0041765729938905306
2000-06-29,France,DM,-0.025837018152450927
2000-06-30,France,DM,0.0042616409509307375
2000-07-03,France,DM,0.0066684285678889925
2000-07-04,France,DM,-0.0015742782097404255
2000-07-05,France,DM,-0.0013727337328233182
2000-07-06,France,DM,-0.0015025264846431005
2000-07-07,France,DM,0.014327654798301786
2000-07-10,France,DM,-0.007009617950305988
2000-07-11,France,DM,-0.0006185009021848806
2000-07-12,France,DM,0.005830900527553138
2000-07-13,France,DM,0.004815966665046986
2000-07-17,France,DM,0.007285726754459005
2000-07-18,France,DM,-0.009832715822486534
2000-07-19,France,DM,-0.004112255060360984
2000-07-20,France,DM,0.006173784302910677
2000-07-21,France,DM,-0.011193279537904858
2000-07-24,France,DM,0.007182861632976185
2000-07-25,France,DM,-0.0028925812487558314
2000-07-26,France,DM,0.0035753184510368893
2000-07-27,France,DM,0.004759842785300761
2000-07-28,France,DM,-0.01266775854014615
2000-07-31,France,DM,0.015500746675282657
2000-08-01,France,DM,-0.0012272198554561654
2000-08-02,France,DM,2.9718124125637556e-05
2000-08-03,France,DM,-0.01950111593294883
2000-08-04,France,DM,0.01344196736648323
2000-08-07,France,DM,0.009157202769965171
2000-08-08,France,DM,0.0007050282552640095
2000-08-09,France,DM,0.004376686422627072
2000-08-10,France,DM,-0.0026244193175233403
2000-08-11,France,DM,0.0006251995167146209
2000-08-14,France,DM,0.006744665108467713
2000-08-15,France,DM,0.002751161589197665
2000-08-16,France,DM,0.006623971402620043
2000-08-17,France,DM,-0.006022551323303789
2000-08-18,France,DM,-0.005393692026871323
2000-08-21,France,DM,-0.002355400943089009
2000-08-22,France,DM,-0.004346372119041001
2000-08-23,France,DM,-0.0011087108901971564
2000-08-24,France,DM,-0.0059531246100293774
2000-08-25,France,DM,0.018103508400243825
2000-08-28,France,DM,0.0044940509313320925
2000-08-29,France,DM,0.005572133546004789
2000-08-30,France,DM,-0.0005254132344699929
2000-08-31,France,DM,-0.00138411650192112
2000-09-01,France,DM,0.025130620806773037
2000-09-04,France,DM,0.01288462942962378
2000-09-05,France,DM,-0.01427186893877976
2000-09-06,France,DM,-0.00858313479736949
2000-09-07,France,DM,0.002530626753619968
2000-09-08,France,DM,-0.01471509364631408
2000-09-11,France,DM,-0.010402135416840286
2000-09-12,France,DM,0.0016999484864954502
2000-09-13,France,DM,-0.016961014697467167
2000-09-14,France,DM,0.009465230509499252
2000-09-15,France,DM,-0.0035221780607871877
2000-09-18,France,DM,-0.011545385502784451
2000-09-19,France,DM,-0.0007847980819334824
2000-09-20,France,DM,-0.015531346606132491
2000-09-21,France,DM,-0.021294458543339966
2000-09-22,France,DM,0.0017975503665881027
2000-09-25,France,DM,0.012882009900775327
2000-09-26,France,DM,-0.007251098506137683
2000-09-27,France,DM,0.004057973858425102
2000-09-28,France,DM,-0.004019097013532091
2000-09-29,France,DM,-0.0021739661508219377
2000-10-02,France,DM,0.009043154197688006
2000-10-03,France,DM,0.006464018064012302
2000-10-04,France,DM,-0.013785488808571954
2000-10-05,France,DM,0.002784989769499937
2000-10-06,France,DM,-0.009748120264379698
2000-10-09,France,DM,-0.02025645033489012
